season,manager,phase,player_raw,player,pos,team,price,fpl_points,fpl_minutes,matched
2016-17,Ambrose,settled,Mkhitaryan,Mkhitaryan,MID,,400,73,1348,yes
2016-17,Ambrose,settled,De Bruyne,De Bruyne,MID,,360,199,2877,yes
2016-17,Ambrose,settled,Willian,Willian,MID,,275,114,1534,yes
2016-17,Ambrose,settled,Willian,Willian,MID,,200,114,1534,yes
2016-17,Ambrose,settled,Lamela,Lamela,MID,,120,28,595,yes
2016-17,Ambrose,settled,Lloris,Lloris,GK,,100,143,3004,yes
2016-17,Ambrose,settled,A Williams,Williams,DEF,,100,127,3160,yes
2016-17,Ambrose,settled,Rooney,Rooney,FWD,,100,76,1540,yes
2016-17,Ambrose,settled,Nolito,Nolito,MID,,100,54,777,yes
2016-17,Ambrose,settled,Clyne,Clyne,DEF,,35,129,3323,yes
2016-17,Ambrose,settled,Martial,Martial,MID,,26,95,1553,yes
2016-17,Ambrose,settled,A Gray,Gray,FWD,,8,108,2260,yes
2016-17,Ambrose,settled,Rondon,Rondón,FWD,,7,118,2892,yes
2016-17,Ambrose,settled,Forster,Forster,GK,,2,134,3420,yes
2016-17,Ambrose,settled,Simpson,Simpson,DEF,,1,85,2988,yes
2016-17,Ambrose,settled,D Sakho,Sakho,FWD,,1,12,181,yes
2016-17,Ambrose,settled,Gundogan,Gündogan,MID,,1,41,704,yes
2016-17,Ambrose,settled,Gabriel,Gabriel,DEF,,1,45,1517,yes
2016-17,Arj,settled,Zlatan,Ibrahimovic,FWD,,510,163,2438,yes
2016-17,Arj,settled,Hazard,Hazard,MID,,430,224,2985,yes
2016-17,Arj,settled,Eriksen,Eriksen,MID,,260,218,3159,yes
2016-17,Arj,settled,Payet,Payet,MID,,240,81,1513,yes
2016-17,Arj,settled,Slimani,Slimani,FWD,,175,83,1281,yes
2016-17,Arj,settled,Tadic,Tadic,MID,,130,108,2411,yes
2016-17,Arj,settled,Coutinho,Coutinho,MID,,100,171,2228,yes
2016-17,Arj,settled,Rose,Rose,DEF,,55,84,1530,yes
2016-17,Arj,settled,Fuchs,Fuchs,DEF,,50,104,3103,yes
2016-17,Arj,settled,van Dijk,van Dijk,DEF,,40,75,1852,yes
2016-17,Arj,settled,Long,Long,FWD,,30,57,1262,yes
2016-17,Arj,settled,Zouma,Zouma,DEF,,21,15,250,yes
2016-17,Arj,settled,Foster,Foster,GK,,1,113,3420,yes
2016-17,Arj,settled,Origi,Origi,FWD,,1,96,1469,yes
2016-17,Arj,settled,Success,Success,MID,,1,28,519,yes
2016-17,Arj,settled,A Valencia,Valencia,DEF,,1,120,2483,yes
2016-17,Arj,settled,Mustafi,Mustafi,DEF,,1,90,2274,yes
2016-17,Arj,settled,Karius,Karius,GK,,1,32,900,yes
2016-17,Lakshman,settled,Kane,Kane,FWD,,430,224,2523,yes
2016-17,Lakshman,settled,Aguero,Agüero,FWD,,410,175,2404,yes
2016-17,Lakshman,settled,Mahrez,Mahrez,MID,,270,120,2826,yes
2016-17,Lakshman,settled,Courtois,Courtois,GK,,170,141,3240,yes
2016-17,Lakshman,settled,Bailly,Bailly,DEF,,150,105,2058,yes
2016-17,Lakshman,settled,Sagna,Sagna,DEF,,100,55,1346,yes
2016-17,Lakshman,settled,A Ayew,Ayew,MID,,100,89,1439,yes
2016-17,Lakshman,settled,Snodgrass,Snodgrass,MID,,40,133,2548,yes
2016-17,Lakshman,settled,Kompany,Kompany,DEF,,26,57,820,yes
2016-17,Lakshman,settled,Mata,Mata,MID,,10,102,1614,yes
2016-17,Lakshman,settled,Bertrand,Bertrand,DEF,,7,123,2507,yes
2016-17,Lakshman,settled,Shawcross,Shawcross,DEF,,6,94,3150,yes
2016-17,Lakshman,settled,Cedric,Cédric,DEF,,3,102,2515,yes
2016-17,Lakshman,settled,A Hernandez,Hernández,FWD,,1,72,1425,yes
2016-17,Lakshman,settled,Henderson,Henderson,MID,,1,73,2116,yes
2016-17,Lakshman,settled,Xhaka,Xhaka,MID,,1,85,2483,yes
2016-17,Lakshman,settled,Walcott,Walcott,MID,,1,122,1916,yes
2016-17,Lakshman,settled,Luiz,David Luiz,DEF,,1,132,2954,yes
2016-17,Margit,settled,Bellerin,Bellerín,DEF,,270,119,2503,yes
2016-17,Margit,settled,Vardy,Vardy,FWD,,260,161,2801,yes
2016-17,Margit,settled,Allen,Allen,MID,,201,118,2930,yes
2016-17,Margit,settled,Barkley,Barkley,MID,,170,144,2900,yes
2016-17,Margit,settled,Cech,Cech,GK,,150,134,3097,yes
2016-17,Margit,settled,Azpilicueta,Azpilicueta,DEF,,140,170,3420,yes
2016-17,Margit,settled,Fonte,Fonte,DEF,,100,98,2934,yes
2016-17,Margit,settled,Defoe,Defoe,FWD,,100,166,3322,yes
2016-17,Margit,settled,Vertonghen,Vertonghen,DEF,,51,126,2894,yes
2016-17,Margit,settled,Kolarov,Kolarov,DEF,,43,95,2535,yes
2016-17,Margit,settled,Bolasie,Bolasie,MID,,36,45,1048,yes
2016-17,Margit,settled,C Wilson,Marc Wilson,DEF,,35,0,255,yes
2016-17,Margit,settled,Janssen,Janssen,FWD,,29,55,845,yes
